Feature,Feature Systematic Name,Feature Type,Coordinates,Start,End,Strand,essential_or_not,Feature Systematic Name
BUD16,YEL029C,ORF,96858-97796,96858,97796,-,not essential,YEL029C
YEL028W,YEL028W,ORF,98668-99129,98668,99129,+,not essential,YEL028W
YELCdelta3,YELCdelta3,long terminal repeat,99490-99664,99490,99664,-,not essential,YELCdelta3
IMT4,YNCE0006W,tRNA gene,100133-100204,100133,100204,+,not essential,YNCE0006W
VMA3,YEL027W,ORF,100769-101251,100769,101251,+,not essential,YEL027W
SNU13,YEL026W,ORF,101943-102323,101943,102323,+,essential,YEL026W
YEL025C,YEL025C,ORF,102581-106147,102581,106147,-,not essential,YEL025C
RIP1,YEL024W,ORF,107260-107907,107260,107907,+,not essential,YEL024W
YEL023C,YEL023C,ORF,108504-110552,108504,110552,-,not essential,YEL023C
GEA2,YEL022W,ORF,111421-115800,111421,115800,+,not essential,YEL022W
URA3,YEL021W,ORF,116167-116970,116167,116970,+,not essential,YEL021W
YEL020C-B,YEL020C-B,ORF,117183-117380,117183,117380,-,not essential,YEL020C-B
TIM9,YEL020W-A,ORF,117211-117474,117211,117474,+,not essential,YEL020W-A
RPR1,YNCE0007C,ncRNA gene,117667-118035,117667,118035,-,not essential,YNCE0007C
YELCtau1,YELCtau1,long terminal repeat,118230-118551,118230,118551,-,not essential,YELCtau1
PXP1,YEL020C,ORF,118617-120299,118617,120299,-,not essential,YEL020C
MMS21,YEL019C,ORF,120498-121301,120498,121301,-,essential,YEL019C
YEL018C-A,YEL018C-A,ORF,121455-121988,121455,121988,-,not essential,YEL018C-A
EAF5,YEL018W,ORF,121471-122310,121471,122310,+,not essential,YEL018W
PMP2,YEL017C-A,ORF,122798-122929,122798,122929,-,not essential,YEL017C-A
GTT3,YEL017W,ORF,123657-124670,123657,124670,+,not essential,YEL017W
NPP2,YEL016C,ORF,124737-126218,124737,126218,-,not essential,YEL016C
EDC3,YEL015W,ORF,126629-128284,126629,128284,+,not essential,YEL015W
YEL014C,YEL014C,ORF,128303-128608,128303,128608,-,not essential,YEL014C
VAC8,YEL013W,ORF,128825-130561,128825,130561,+,not essential,YEL013W
YNCE0008C,YNCE0008C,tRNA gene,131082-131153,131082,131153,-,not essential,YNCE0008C
UBC8,YEL012W,ORF,131772-132551,131772,132551,+,not essential,YEL012W
GLC3,YEL011W,ORF,133120-135234,133120,135234,+,not essential,YEL011W
YNCE0009C,YNCE0009C,tRNA gene,135425-135497,135425,135497,-,not essential,YNCE0009C
YELCdelta4,YELCdelta4,long terminal repeat,135612-135939,135612,135939,-,not essential,YELCdelta4
YEL010W,YEL010W,ORF,136279-136629,136279,136629,+,not essential,YEL010W
YEL009C-A,YEL009C-A,ORF,136371-136778,136371,136778,-,not essential,YEL009C-A
YELWdelta5,YELWdelta5,long terminal repeat,137324-137639,137324,137639,+,not essential,YELWdelta5
YELWdelta6,YELWdelta6,long terminal repeat,138221-138553,138221,138553,+,not essential,YELWdelta6
YNCE0010W,YNCE0010W,tRNA gene,138666-138737,138666,138737,+,not essential,YNCE0010W
GCN4,YEL009C,ORF,138918-139763,138918,139763,-,not essential,YEL009C
YEL008W,YEL008W,ORF,140512-140892,140512,140892,+,not essential,YEL008W
YEL008C-A,YEL008C-A,ORF,140726-140818,140726,140818,-,not essential,YEL008C-A
MIT1,YEL007W,ORF,141892-143892,141892,143892,+,not essential,YEL007W
YEA6,YEL006W,ORF,144327-145334,144327,145334,+,not essential,YEL006W
ARS510,ARS510,ARS,145678-145840,145678,145840,0,not essential,ARS510
VAB2,YEL005C,ORF,145907-146755,145907,146755,-,not essential,YEL005C
YEA4,YEL004W,ORF,146951-147979,146951,147979,+,not essential,YEL004W
GIM4,YEL003W,ORF,148176-148599,148176,148599,+,not essential,YEL003W
WBP1,YEL002C,ORF,148722-150014,148722,150014,-,essential,YEL002C
IRC22,YEL001C,ORF,150301-150978,150301,150978,-,not essential,YEL001C
CEN5,CEN5,centromere,151987-152104,151987,152104,+,not essential,CEN5
MNN1,YER001W,ORF,153520-155808,153520,155808,+,not essential,YER001W
NOP16,YER002W,ORF,156803-157498,156803,157498,+,not essential,YER002W
PMI40,YER003C,ORF,157736-159118,157736,159118,-,essential,YER003C
FMP52,YER004W,ORF,159580-160275,159580,160275,+,not essential,YER004W
YND1,YER005W,ORF,160550-162442,160550,162442,+,essential,YER005W
NUG1,YER006W,ORF,162723-164285,162723,164285,+,essential,YER006W
YER006C-A,YER006C-A,ORF,164344-164661,164344,164661,-,not essential,YER006C-A
PAC2,YER007W,ORF,164527-166083,164527,166083,+,not essential,YER007W
TMA20,YER007C-A,ORF,166237-166885,166237,166885,-,not essential,YER007C-A
SNR14,YNCE0011C,snRNA gene,167427-167586,167427,167586,-,not essential,YNCE0011C
SEC3,YER008C,ORF,167808-171818,167808,171818,-,essential,YER008C
NTF2,YER009W,ORF,172115-172492,172115,172492,+,essential,YER009W
YER010C,YER010C,ORF,172634-173338,172634,173338,-,not essential,YER010C
ARS511,ARS511,ARS,173700-173864,173700,173864,0,not essential,ARS511
TIR1,YER011W,ORF,175248-176012,175248,176012,+,not essential,YER011W
YERWdelta7,YERWdelta7,long terminal repeat,176705-176856,176705,176856,+,not essential,YERWdelta7
YNCE0012W,YNCE0012W,tRNA gene,177099-177170,177099,177170,+,not essential,YNCE0012W
PRE1,YER012W,ORF,177835-178431,177835,178431,+,essential,YER012W
PRP22,YER013W,ORF,178841-182278,178841,182278,+,essential,YER013W
HEM14,YER014W,ORF,182600-184219,182600,184219,+,not essential,YER014W
BUD25,YER014C-A,ORF,183731-184700,183731,184700,-,not essential,YER014C-A
FAA2,YER015W,ORF,184541-186775,184541,186775,+,not essential,YER015W
BIM1,YER016W,ORF,188277-189311,188277,189311,+,essential,YER016W
AFG3,YER017C,ORF,189503-191788,189503,191788,-,not essential,YER017C
SPC25,YER018C,ORF,191959-192624,191959,192624,-,essential,YER018C
ISC1,YER019W,ORF,192797-194230,192797,194230,+,not essential,YER019W
SBH2,YER019C-A,ORF,194273-194539,194273,194539,-,not essential,YER019C-A
GPA2,YER020W,ORF,195168-196517,195168,196517,+,not essential,YER020W
RPN3,YER021W,ORF,196948-198519,196948,198519,+,essential,YER021W
SRB4,YER022W,ORF,198812-200875,198812,200875,+,essential,YER022W
PRO3,YER023W,ORF,201076-201936,201076,201936,+,essential,YER023W
YER023C-A,YER023C-A,ORF,201522-201734,201522,201734,-,not essential,YER023C-A
YAT2,YER024W,ORF,202192-204963,202192,204963,+,not essential,YER024W
GCD11,YER025W,ORF,205251-206834,205251,206834,+,essential,YER025W
YNCE0013W,YNCE0013W,tRNA gene,207357-207428,207357,207428,+,not essential,YNCE0013W
CHO1,YER026C,ORF,207644-208474,207644,208474,-,not essential,YER026C
GAL83,YER027C,ORF,208979-210232,208979,210232,-,not essential,YER027C
MIG3,YER028C,ORF,210692-211876,210692,211876,-,not essential,YER028C
ARS512,ARS512,ARS,212383-212631,212383,212631,0,not essential,ARS512
SMB1,YER029C,ORF,212587-213177,212587,213177,-,not essential,YER029C
CHZ1,YER030W,ORF,213437-213898,213437,213898,+,not essential,YER030W
YPT31,YER031C,ORF,214076-214747,214076,214747,-,not essential,YER031C
FIR1,YER032W,ORF,215063-217693,215063,217693,+,not essential,YER032W
ZRG8,YER033C,ORF,218057-221287,218057,221287,-,not essential,YER033C
YER034W,YER034W,ORF,221846-222403,221846,222403,+,not essential,YER034W
EDC2,YER035W,ORF,222639-223076,222639,223076,+,not essential,YER035W
ARB1,YER036C,ORF,223367-225199,223367,225199,-,essential,YER036C
PHM8,YER037W,ORF,225889-226854,225889,226854,+,not essential,YER037W
KRE29,YER038C,ORF,226858-228252,226858,228252,-,essential,YER038C
FMP49,YER038W-A,ORF,228451-228831,228451,228831,+,not essential,YER038W-A
HVG1,YER039C,ORF,228456-229205,228456,229205,-,not essential,YER039C
YER039C-A,YER039C-A,ORF,229263-229481,229263,229481,-,not essential,YER039C-A
GLN3,YER040W,ORF,229795-231987,229795,231987,+,not essential,YER040W
YEN1,YER041W,ORF,232461-234740,232461,234740,+,not essential,YER041W
MXR1,YER042W,ORF,234937-235491,234937,235491,+,not essential,YER042W
SAH1,YER043C,ORF,235770-237119,235770,237119,-,essential,YER043C
ERG28,YER044C,ORF,237570-238016,237570,238016,-,not essential,YER044C
MEI4,YER044C-A,ORF,238460-239774,238460,239774,-,not essential,YER044C-A
ACA1,YER045C,ORF,240032-241501,240032,241501,-,not essential,YER045C
SPO73,YER046W,ORF,243180-243611,243180,243611,+,not essential,YER046W
YER046W-A,YER046W-A,ORF,243700-244029,243700,244029,+,not essential,YER046W-A
SAP1,YER047C,ORF,243810-246503,243810,246503,-,not essential,YER047C
CAJ1,YER048C,ORF,246982-248157,246982,248157,-,not essential,YER048C
YERCdelta8,YERCdelta8,long terminal repeat,249109-249331,249109,249331,-,not essential,YERCdelta8
YERWdelta9,YERWdelta9,long terminal repeat,249445-249752,249445,249752,+,not essential,YERWdelta9
YERCsigma1,YERCsigma1,long terminal repeat,249930-250270,249930,250270,-,not essential,YERCsigma1
YNCE0014W,YNCE0014W,tRNA gene,250286-250357,250286,250357,+,not essential,YNCE0014W
ISD11,YER048W-A,ORF,250718-251002,250718,251002,+,essential,YER048W-A
TPA1,YER049W,ORF,251728-253662,251728,253662,+,not essential,YER049W
RSM18,YER050C,ORF,253971-254387,253971,254387,-,not essential,YER050C
JHD1,YER051W,ORF,254656-256134,254656,256134,+,not essential,YER051W
HOM3,YER052C,ORF,256375-257958,256375,257958,-,not essential,YER052C
ARS513,ARS513,ARS,257958-258737,257958,258737,0,not essential,ARS513
PIC2,YER053C,ORF,258737-259639,258737,259639,-,not essential,YER053C
YER053C-A,YER053C-A,ORF,260933-261046,260933,261046,-,not essential,YER053C-A
GIP2,YER054C,ORF,262052-263698,262052,263698,-,not essential,YER054C
HIS1,YER055C,ORF,264892-265785,264892,265785,-,not essential,YER055C
FCY2,YER056C,ORF,266512-268113,266512,268113,-,not essential,YER056C
RPL34A,YER056C-A,ORF,269423-270185,269423,270185,-,not essential,YER056C-A
HMF1,YER057C,ORF,270737-271126,270737,271126,-,not essential,YER057C
PET117,YER058W,ORF,271768-272091,271768,272091,+,not essential,YER058W
PCL6,YER059W,ORF,272624-273886,272624,273886,+,not essential,YER059W
FCY21,YER060W,ORF,274567-276153,274567,276153,+,essential,YER060W
ARS513.5,ARS513.5,ARS,276130-276528,276130,276528,0,not essential,ARS513.5
FCY22,YER060W-A,ORF,276572-278164,276572,278164,+,not essential,YER060W-A
ARS513.7,ARS513.7,ARS,278076-278357,278076,278357,0,not essential,ARS513.7
CEM1,YER061C,ORF,278298-279626,278298,279626,-,not essential,YER061C
GPP2,YER062C,ORF,279930-280682,279930,280682,-,not essential,YER062C
THO1,YER063W,ORF,281710-282366,281710,282366,+,not essential,YER063W
VHR2,YER064C,ORF,282705-284222,282705,284222,-,not essential,YER064C
ICL1,YER065C,ORF,285241-286914,285241,286914,-,not essential,YER065C
ARS514,ARS514,ARS,287552-287629,287552,287629,0,not essential,ARS514
YERCdelta10,YERCdelta10,long terminal repeat,287745-288062,287745,288062,-,not essential,YERCdelta10
SUP19,YNCE0015C,tRNA gene,288443-288524,288443,288524,-,not essential,YNCE0015C
RRT13,YER066W,ORF,290242-290799,290242,290799,+,not essential,YER066W
YER066C-A,YER066C-A,ORF,291703-292203,291703,292203,-,not essential,YER066C-A
RGI1,YER067W,ORF,292066-292551,292066,292551,+,not essential,YER067W
YER067C-A,YER067C-A,ORF,292240-292563,292240,292563,-,not essential,YER067C-A
MOT2,YER068W,ORF,293050-294813,293050,294813,+,not essential,YER068W
YER068C-A,YER068C-A,ORF,295301-295732,295301,295732,-,not essential,YER068C-A
ARG56,YER069W,ORF,295410-298001,295410,298001,+,not essential,YER069W
RNR1,YER070W,ORF,298950-301616,298950,301616,+,not essential,YER070W
TDA2,YER071C,ORF,301947-302327,301947,302327,-,not essential,YER071C
VTC1,YER072W,ORF,302806-303195,302806,303195,+,not essential,YER072W
ALD5,YER073W,ORF,304030-305592,304030,305592,+,not essential,YER073W
RPS24A,YER074W,ORF,306323-307196,306323,307196,+,not essential,YER074W
YOS1,YER074W-A,ORF,307653-308123,307653,308123,+,essential,YER074W-A
PTP3,YER075C,ORF,308413-311199,308413,311199,-,not essential,YER075C
YNCE0016C,YNCE0016C,tRNA gene,312023-312095,312023,312095,-,not essential,YNCE0016C
YERWdelta11,YERWdelta11,long terminal repeat,312274-312445,312274,312445,+,not essential,YERWdelta11
YER076C,YER076C,ORF,312590-313498,312590,313498,-,not essential,YER076C
YER076W-A,YER076W-A,ORF,313390-313737,313390,313737,+,not essential,YER076W-A
MRX1,YER077C,ORF,314534-316600,314534,316600,-,not essential,YER077C
ARS515,ARS515,ARS,316600-316807,316600,316807,0,not essential,ARS515
ICP55,YER078C,ORF,316807-318342,316807,318342,-,not essential,YER078C
YER078W-A,YER078W-A,ORF,318646-318810,318646,318810,+,not essential,YER078W-A
YER079W,YER079W,ORF,318920-319552,318920,319552,+,not essential,YER079W
YER079C-A,YER079C-A,ORF,319902-320240,319902,320240,-,not essential,YER079C-A
AIM9,YER080W,ORF,319963-321846,319963,321846,+,not essential,YER080W
SRG1,YNCE0017W,ncRNA gene,322212-322762,322212,322762,+,not essential,YNCE0017W
SER3,YER081W,ORF,322686-324095,322686,324095,+,not essential,YER081W
UTP7,YER082C,ORF,324272-325936,324272,325936,-,essential,YER082C
GET2,YER083C,ORF,326174-327031,326174,327031,-,not essential,YER083C
YER084W,YER084W,ORF,327065-327451,327065,327451,+,not essential,YER084W
YER084W-A,YER084W-A,ORF,327598-328110,327598,328110,+,not essential,YER084W-A
YER085C,YER085C,ORF,327619-328140,327619,328140,-,not essential,YER085C
ILV1,YER086W,ORF,328477-330207,328477,330207,+,not essential,YER086W
AIM10,YER087W,ORF,330576-332306,330576,332306,+,not essential,YER087W
YER087C-A,YER087C-A,ORF,331817-332368,331817,332368,-,not essential,YER087C-A
SBH1,YER087C-B,ORF,332582-332830,332582,332830,-,not essential,YER087C-B
DOT6,YER088C,ORF,333176-335188,333176,335188,-,not essential,YER088C
YER088C-A,YER088C-A,ORF,335696-336019,335696,336019,-,not essential,YER088C-A
YER088W-B,YER088W-B,ORF,335927-336073,335927,336073,+,not essential,YER088W-B
PTC2,YER089C,ORF,335946-337340,335946,337340,-,not essential,YER089C
TRP2,YER090W,ORF,337949-339472,337949,339472,+,not essential,YER090W
YER090C-A,YER090C-A,ORF,338322-338411,338322,338411,-,not essential,YER090C-A
MET6,YER091C,ORF,339864-342167,339864,342167,-,not essential,YER091C
YER091C-A,YER091C-A,ORF,342390-342611,342390,342611,-,not essential,YER091C-A
IES5,YER092W,ORF,342855-343232,342855,343232,+,not essential,YER092W
TSC11,YER093C,ORF,343320-347612,343320,347612,-,essential,YER093C
AIM11,YER093C-A,ORF,347912-348400,347912,348400,-,not essential,YER093C-A
PUP3,YER094C,ORF,348729-349346,348729,349346,-,essential,YER094C
RAD51,YER095W,ORF,349980-351182,349980,351182,+,not essential,YER095W
SHC1,YER096W,ORF,351698-353236,351698,353236,+,not essential,YER096W
YERWdelta12,YERWdelta12,long terminal repeat,353399-353735,353399,353735,+,not essential,YERWdelta12
ARS516,ARS516,ARS,353578-353636,353578,353636,0,not essential,ARS516
YERWdelta13,YERWdelta13,long terminal repeat,354136-354850,354136,354850,+,not essential,YERWdelta13
YERCtau2,YERCtau2,long terminal repeat,354360-354730,354360,354730,-,not essential,YERCtau2
YERCsigma2,YERCsigma2,long terminal repeat,354851-354917,354851,354917,-,not essential,YERCsigma2
YNCE0018W,YNCE0018W,tRNA gene,354934-355005,354934,355005,+,not essential,YNCE0018W
YER097W,YER097W,ORF,355140-355469,355140,355469,+,not essential,YER097W
UBP9,YER098W,ORF,355466-357730,355466,357730,+,not essential,YER098W
PRS2,YER099C,ORF,358105-359061,358105,359061,-,not essential,YER099C
UBC6,YER100W,ORF,359562-360314,359562,360314,+,not essential,YER100W
AST2,YER101C,ORF,360502-361794,360502,361794,-,not essential,YER101C
RPS8B,YER102W,ORF,363100-363702,363100,363702,+,not essential,YER102W
SSA4,YER103W,ORF,364589-366517,364589,366517,+,not essential,YER103W
RTT105,YER104W,ORF,366802-367428,366802,367428,+,essential,YER104W
NUP157,YER105C,ORF,367838-372013,367838,372013,-,not essential,YER105C
MAM1,YER106W,ORF,372326-373234,372326,373234,+,essential,YER106W
GLE2,YER107C,ORF,373448-374545,373448,374545,-,not essential,YER107C
YER107W-A,YER107W-A,ORF,374394-374714,374394,374714,+,not essential,YER107W-A
FLO8,YER109C,blocked reading frame,375215-377614,375215,377614,-,not essential,YER109C
KAP123,YER110C,ORF,378762-382103,378762,382103,-,not essential,YER110C
SWI4,YER111C,ORF,382595-385876,382595,385876,-,not essential,YER111C
LSM4,YER112W,ORF,387232-387795,387232,387795,+,essential,YER112W
TMN3,YER113C,ORF,387932-390052,387932,390052,-,not essential,YER113C
BOI2,YER114C,ORF,390590-393712,390590,393712,-,not essential,YER114C
SPR6,YER115C,ORF,394292-394867,394292,394867,-,not essential,YER115C
SLX8,YER116C,ORF,395348-396172,395348,396172,-,not essential,YER116C
RPL23B,YER117W,ORF,396769-397653,396769,397653,+,not essential,YER117W
SHO1,YER118C,ORF,397952-399055,397952,399055,-,not essential,YER118C
AVT6,YER119C,ORF,399496-400842,399496,400842,-,not essential,YER119C
YER119C-A,YER119C-A,ORF,400867-401238,400867,401238,-,not essential,YER119C-A
SCS2,YER120W,ORF,401135-401869,401135,401869,+,not essential,YER120W
YER121W,YER121W,ORF,402375-402719,402375,402719,+,not essential,YER121W
GLO3,YER122C,ORF,402871-404352,402871,404352,-,not essential,YER122C
YCK3,YER123W,ORF,404813-406387,404813,406387,+,not essential,YER123W
ARS517,ARS517,ARS,406752-406953,406752,406953,0,not essential,ARS517
DSE1,YER124C,ORF,407342-409063,407342,409063,-,not essential,YER124C
RSP5,YER125W,ORF,410189-412618,410189,412618,+,essential,YER125W
NSA2,YER126C,ORF,413394-414179,413394,414179,-,essential,YER126C
LCP5,YER127W,ORF,414481-415554,414481,415554,+,essential,YER127W
VFA1,YER128W,ORF,415859-416470,415859,416470,+,not essential,YER128W
SAK1,YER129W,ORF,417281-420709,417281,420709,+,not essential,YER129W
COM2,YER130C,ORF,421115-422446,421115,422446,-,not essential,YER130C
RPS26B,YER131W,ORF,423952-424311,423952,424311,+,not essential,YER131W
SNR4,YNCE0019W,snoRNA gene,424698-424883,424698,424883,+,not essential,YNCE0019W
PMD1,YER132C,ORF,425188-430449,425188,430449,-,not essential,YER132C
SNR52,YNCE0020C,snoRNA gene,431129-431220,431129,431220,-,not essential,YNCE0020C
YERCdelta14,YERCdelta14,long terminal repeat,431490-431822,431490,431822,-,not essential,YERCdelta14
GLC7,YER133W,ORF,432495-433958,432495,433958,+,essential,YER133W
YNCE0021C,YNCE0021C,tRNA gene,434541-434612,434541,434612,-,not essential,YNCE0021C
YERCsigma3,YERCsigma3,long terminal repeat,434631-434971,434631,434971,-,not essential,YERCsigma3
YERCdelta15,YERCdelta15,long terminal repeat,435128-435447,435128,435447,-,not essential,YERCdelta15
YNCE0022C,YNCE0022C,tRNA gene,435752-435824,435752,435824,-,not essential,YNCE0022C
YERCdelta16,YERCdelta16,long terminal repeat,435946-436277,435946,436277,-,not essential,YERCdelta16
YERCtau3,YERCtau3,long terminal repeat,436279-436605,436279,436605,-,not essential,YERCtau3
YER133W-A,YER133W-A,ORF,437191-437532,437191,437532,+,not essential,YER133W-A
YER134C,YER134C,ORF,437267-437803,437267,437803,-,not essential,YER134C
YER135C,YER135C,ORF,437952-438344,437952,438344,-,not essential,YER135C
YNCE0023W,YNCE0023W,tRNA gene,438700-438773,438700,438773,+,not essential,YNCE0023W
ARS518,ARS518,ARS,438934-439182,438934,439182,0,not essential,ARS518
GDI1,YER136W,ORF,439616-440971,439616,440971,+,essential,YER136W
YER137C,YER137C,ORF,441373-441819,441373,441819,-,not essential,YER137C
YER137W-A,YER137W-A,ORF,441575-441880,441575,441880,+,not essential,YER137W-A
SCR1,YNCE0024W,ncRNA gene,441987-442508,441987,442508,+,not essential,YNCE0024W
ARS519,ARS519,ARS,442416-442735,442416,442735,0,not essential,ARS519
YERWdelta17,YERWdelta17,long terminal repeat,442734-443072,442734,443072,+,not essential,YERWdelta17
YNCE0025C,YNCE0025C,tRNA gene,443202-443275,443202,443275,-,not essential,YNCE0025C
YERCdelta19,YERCdelta19,long terminal repeat,443397-443733,443397,443733,-,not essential,YERCdelta19
YERCTy1-1,YERCTy1-1,LTR retrotransposon,443397-449320,443397,449320,-,not essential,YERCTy1-1
YER138C,YER138C,transposable element gene,443756-449024,443756,449024,-,not essential,YER138C
YERWdelta21,YERWdelta21,long terminal repeat,444834-445139,444834,445139,+,not essential,YERWdelta21
YER137C-A,YER137C-A,transposable element gene,447702-449024,447702,449024,-,not essential,YER137C-A
YERCdelta20,YERCdelta20,long terminal repeat,448984-449320,448984,449320,-,not essential,YERCdelta20
YELWdelta27,YELWdelta27,long terminal repeat,449274-449626,449274,449626,+,not essential,YELWdelta27
YER138W-A,YER138W-A,ORF,449474-449578,449474,449578,+,not essential,YER138W-A
RTR1,YER139C,ORF,450563-451243,450563,451243,-,not essential,YER139C
EMP65,YER140W,ORF,451565-453235,451565,453235,+,not essential,YER140W
COX15,YER141W,ORF,453459-454919,453459,454919,+,not essential,YER141W
MAG1,YER142C,ORF,455146-456036,455146,456036,-,not essential,YER142C
DDI1,YER143W,ORF,456319-457605,456319,457605,+,not essential,YER143W
UBP5,YER144C,ORF,457806-460223,457806,460223,-,not essential,YER144C
FTR1,YER145C,ORF,460526-461740,460526,461740,-,not essential,YER145C
YER145C-A,YER145C-A,ORF,462386-462823,462386,462823,-,not essential,YER145C-A
LSM5,YER146W,ORF,462585-462866,462585,462866,+,essential,YER146W
SCC4,YER147C,ORF,462968-464842,462968,464842,-,essential,YER147C
YER147C-A,YER147C-A,ORF,465203-465613,465203,465613,-,not essential,YER147C-A
SPT15,YER148W,ORF,465303-466025,465303,466025,+,essential,YER148W
YER148W-A,YER148W-A,ORF,466185-466763,466185,466763,+,not essential,YER148W-A
PEA2,YER149C,ORF,466208-467470,466208,467470,-,not essential,YER149C
SPI1,YER150W,ORF,468370-468816,468370,468816,+,not essential,YER150W
YNCE0026W,YNCE0026W,tRNA gene,469457-469530,469457,469530,+,not essential,YNCE0026W
UBP3,YER151C,ORF,469686-472424,469686,472424,-,not essential,YER151C
YER152C,YER152C,ORF,472657-473988,472657,473988,-,not essential,YER152C
YER152W-A,YER152W-A,ORF,473485-474051,473485,474051,+,not essential,YER152W-A
PET122,YER153C,ORF,474041-474805,474041,474805,-,not essential,YER153C
OXA1,YER154W,ORF,475020-476228,475020,476228,+,not essential,YER154W
BEM2,YER155C,ORF,476345-482848,476345,482848,-,not essential,YER155C
MYG1,YER156C,ORF,483325-484341,483325,484341,-,not essential,YER156C
COG3,YER157W,ORF,484788-487193,484788,487193,+,essential,YER157W
YNCE0027C,YNCE0027C,tRNA gene,487331-487402,487331,487402,-,not essential,YNCE0027C
YERWdelta22,YERWdelta22,long terminal repeat,487834-488165,487834,488165,+,not essential,YERWdelta22
YER158C,YER158C,ORF,488857-490578,488857,490578,-,not essential,YER158C
YER158W-A,YER158W-A,ORF,491487-491702,491487,491702,+,not essential,YER158W-A
BUR6,YER159C,ORF,491530-491958,491530,491958,-,essential,YER159C
YNCE0028C,YNCE0028C,tRNA gene,492352-492424,492352,492424,-,not essential,YNCE0028C
YERCdelta23,YERCdelta23,long terminal repeat,492695-492833,492695,492833,-,not essential,YERCdelta23
YERCTy1-2,YERCTy1-2,LTR retrotransposon,492695-498421,492695,498421,-,not essential,YERCTy1-2
YER160C,YER160C,transposable element gene,492856-498124,492856,498124,-,not essential,YER160C
YER159C-A,YER159C-A,transposable element gene,496802-498124,496802,498124,-,not essential,YER159C-A
YERCdelta24,YERCdelta24,long terminal repeat,498084-498421,498084,498421,-,not essential,YERCdelta24
ARS520,ARS520,ARS,498884-499182,498884,499182,0,not essential,ARS520
SPT2,YER161C,ORF,499347-500348,499347,500348,-,not essential,YER161C
RAD4,YER162C,ORF,500630-502894,500630,502894,-,not essential,YER162C
GCG1,YER163C,ORF,503084-503782,503084,503782,-,not essential,YER163C
CHD1,YER164W,ORF,505392-509798,505392,509798,+,not essential,YER164W
PAB1,YER165W,ORF,510373-512106,510373,512106,+,essential,YER165W
YER165C-A,YER165C-A,ORF,512627-512983,512627,512983,-,not essential,YER165C-A
DNF1,YER166W,ORF,512744-517459,512744,517459,+,not essential,YER166W
BCK2,YER167W,ORF,518216-520771,518216,520771,+,not essential,YER167W
ARS521,ARS521,ARS,520772-521030,520772,521030,0,not essential,ARS521
CCA1,YER168C,ORF,521029-522669,521029,522669,-,essential,YER168C
RPH1,YER169W,ORF,523369-525759,523369,525759,+,not essential,YER169W
ADK2,YER170W,ORF,525974-526651,525974,526651,+,not essential,YER170W
RAD3,YER171W,ORF,527082-529418,527082,529418,+,essential,YER171W
BRR2,YER172C,ORF,529530-536021,529530,536021,-,essential,YER172C
YER172C-A,YER172C-A,ORF,536275-536655,536275,536655,-,not essential,YER172C-A
RAD24,YER173W,ORF,536300-538279,536300,538279,+,not essential,YER173W
GRX4,YER174C,ORF,538434-539168,538434,539168,-,not essential,YER174C
TMT1,YER175C,ORF,539464-540363,539464,540363,-,not essential,YER175C
YER175W-A,YER175W-A,ORF,540650-540814,540650,540814,+,not essential,YER175W-A
ECM32,YER176W,ORF,541690-545055,541690,545055,+,not essential,YER176W
BMH1,YER177W,ORF,545611-546414,545611,546414,+,not essential,YER177W
PDA1,YER178W,ORF,546817-548079,546817,548079,+,not essential,YER178W
DMC1,YER179W,ORF,548421-549517,548421,549517,+,not essential,YER179W
ARS522,ARS522,ARS,549566-549814,549566,549814,0,not essential,ARS522
ISC10,YER180C,ORF,549724-550527,549724,550527,-,not essential,YER180C
SLO1,YER180C-A,ORF,550865-551122,550865,551122,-,not essential,YER180C-A
YNCE0029C,YNCE0029C,tRNA gene,551285-551358,551285,551358,-,not essential,YNCE0029C
YERWdelta25,YERWdelta25,long terminal repeat,551442-551773,551442,551773,+,not essential,YERWdelta25
YER181C,YER181C,ORF,551473-551796,551473,551796,-,not essential,YER181C
YERCdelta26,YERCdelta26,long terminal repeat,552040-552267,552040,552267,-,not essential,YERCdelta26
FMP10,YER182W,ORF,552525-553259,552525,553259,+,not essential,YER182W
FAU1,YER183C,ORF,553334-553969,553334,553969,-,not essential,YER183C
TOG1,YER184C,ORF,556296-558680,556296,558680,-,not essential,YER184C
PUG1,YER185W,ORF,559454-560365,559454,560365,+,not essential,YER185W
YER186C,YER186C,ORF,561705-562625,561705,562625,-,not essential,YER186C
YERComega1,YERComega1,long terminal repeat,563928-564024,563928,564024,-,not essential,YERComega1
YER187W,YER187W,ORF,566230-566655,566230,566655,+,not essential,YER187W
YER188W,YER188W,ORF,568040-568759,568040,568759,+,not essential,YER188W
YERWomega2,YERWomega2,long terminal repeat,568791-569024,568791,569024,+,not essential,YERWomega2
TEL05R,TEL05R,telomere,569599-576874,569599,576874,+,not essential,TEL05R
YER188C-A,YER188C-A,ORF,569608-569907,569608,569907,-,not essential,YER188C-A
ARS523,ARS523,ARS,569618-569695,569618,569695,0,not essential,ARS523
YER189W,YER189W,ORF,571155-571523,571155,571523,+,not essential,YER189W
YRF1-2,YER190W,ORF,571480-576525,571480,576525,+,not essential,YER190W
YER190C-A,YER190C-A,ORF,574804-575379,574804,575379,-,not essential,YER190C-A
YER190C-B,YER190C-B,ORF,575680-576162,575680,576162,-,not essential,YER190C-B
TEL06L,TEL06L,telomere,1-5530,1,5530,-,not essential,TEL06L
